"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"1","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Arsenal","Away",8,FALSE,1,"Goal","Alexandre Lacazette","0:1",NA
"2","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Fulham","Home",26,FALSE,1,"Yellow Card","Michael Hector","0:1",NA
"3","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Arsenal","Away",39,FALSE,1,"Yellow Card","Pierre-Emerick Aubameyang","0:1",NA
"4","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Arsenal","Away",49,FALSE,2,"Goal","Gabriel Dos Santos Assist: Willian","0:2",NA
"5","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Arsenal","Away",55,FALSE,2,"Yellow Card","Héctor Bellerín","0:2",NA
"6","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Arsenal","Away",57,FALSE,2,"Goal","Pierre-Emerick Aubameyang Assist: Willian","0:3",NA
"7","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Fulham","Home",61,FALSE,2,"Yellow Card","Tom Cairney","0:3",NA
"8","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Fulham","Home",63,FALSE,2,"Substitute","Aleksandar Mitrović for Aboubakar Kamara","0:3",NA
"9","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Fulham","Home",63,FALSE,2,"Substitute","Andre-Frank Zambo Anguissa for Neeskens Kebano","0:3",NA
"10","Premier League","2020-09-12","Premier League (Matchweek 1)","Fulham","4-2-3-1",0,0.1,"","2","0","Arsenal","3-4-3",3,1.9,"Alexandre Lacazette · 8&rsquor; Gabriel Dos Santos · 49&rsquor; Pierre-Emerick Aubameyang · 57&rsquor;","2","0","https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League","Fulham","Home",75,FALSE,2,"Substitute","Bobby Reid for Josh Onomah","0:3",NA
