"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"206",2010,"Wigan Athletic","Premier League","Chris Kirkland","ENG","GK","28",1981,32,32,2768,30.8,57,1.85,158,101,63.9,9,8,14,8,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/710265d2/Chris-Kirkland"
"207",2010,"Wigan Athletic","Premier League","Mike Pollitt","ENG","GK","37",1972,4,2,292,3.2,14,4.32,29,15,51.7,0,0,3,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a31d9d81/Mike-Pollitt"
"208",2010,"Wigan Athletic","Premier League","Vladimir Stojković","SRB","GK","26",1983,4,4,360,4,8,2,19,11,57.9,0,1,3,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c089980e/Vladimir-Stojkovic"
"209",2010,"Wolfsburg","Bundesliga","Diego Benaglio","SUI","GK","25",1983,22,22,1922,21.4,36,1.69,155,119,76.8,8,7,6,5,22.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b7e7937d/Diego-Benaglio"
"210",2010,"Wolfsburg","Bundesliga","Marwin Hitz","SUI","GK","21",1987,5,5,450,5,7,1.4,32,25,78.1,4,0,1,2,40,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2e7ff968/Marwin-Hitz"
"211",2010,"Wolfsburg","Bundesliga","André Lenz","GER","GK","35",1973,8,7,687,7.6,15,1.97,60,45,75,2,1,5,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7a8a36d2/Andre-Lenz"
"212",2010,"Wolves","Premier League","Marcus Hahnemann","USA","GK","37",1972,25,25,2250,25,30,1.2,148,118,79.7,7,7,11,7,28,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c6be3102/Marcus-Hahnemann"
"213",2010,"Wolves","Premier League","Wayne Hennessey","WAL","GK","22",1987,13,13,1170,13,26,2,77,51,66.2,2,4,7,1,7.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/76eca7e2/Wayne-Hennessey"
"214",2010,"Xerez","La Liga","Renan Brito Soares","BRA","GK","24",1985,35,35,3150,35,61,1.74,180,119,66.1,6,10,19,5,14.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ca409f2e/Renan-Brito-Soares"
"215",2010,"Xerez","La Liga","Chema","ESP","GK","29",1980,3,3,270,3,5,1.67,20,15,75,2,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4b628c9b/Chema"
"216",2010,"Zaragoza","La Liga","Javier López Vallejo","ESP","GK","33",1975,7,7,630,7,18,2.57,41,23,56.1,1,1,5,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/54562263/Javier-Lopez-Vallejo"
"217",2010,"Zaragoza","La Liga","Juan Pablo Carrizo","ARG","GK","25",1984,16,16,1440,16,29,1.81,80,51,63.8,4,5,7,4,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/04e6e152/Juan-Pablo-Carrizo"
"218",2010,"Zaragoza","La Liga","Roberto","ESP","GK","23",1986,15,15,1350,15,17,1.13,77,60,77.9,5,5,5,7,46.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ba3ca78f/Roberto"
