"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"793",2013,"Real Madrid","La Liga","Jesús","ESP","GK","24",1988,1,1,90,1,2,2,14,12,85.7,1,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/fba3c8c1/Jesus"
"794",2013,"Real Madrid","La Liga","Diego López","ESP","GK","30",1981,16,16,1440,16,20,1.25,75,55,73.3,11,2,3,2,12.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/73683fa9/Diego-Lopez"
"795",2013,"Real Sociedad","La Liga","Claudio Bravo","CHI","GK","29",1983,31,31,2790,31,40,1.29,142,102,71.8,16,10,5,9,29,NA,NA,NA,NA,NA,"https://fbref.com/en/players/10072610/Claudio-Bravo"
"796",2013,"Real Sociedad","La Liga","Eñaut Zubikarai","ESP","GK","28",1984,7,7,630,7,9,1.29,26,17,65.4,2,2,3,1,14.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5e92d0ec/Enaut-Zubikarai"
"797",2013,"Reims","Ligue 1","Kossi Agassa","TOG","GK","34",1978,33,33,2925,32.5,33,1.02,159,126,79.2,8,12,13,13,39.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/14a03f68/Kossi-Agassa"
"798",2013,"Reims","Ligue 1","Johan Liébus","FRA","GK","33",1978,2,1,135,1.5,3,2,5,2,40,0,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5c139875/Johan-Liebus"
"799",2013,"Reims","Ligue 1","Johny Placide","HAI","GK","24",1988,4,4,360,4,6,1.5,23,17,73.9,2,1,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f1666a9d/Johny-Placide"
"800",2013,"Rennes","Ligue 1","Benoît Costil","FRA","GK","25",1987,37,37,3265,36.3,58,1.6,159,101,63.5,13,7,17,7,18.9,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2434f24a/Benoit-Costil"
"801",2013,"Rennes","Ligue 1","Cheick N'Diaye","SEN","GK","27",1985,2,1,155,1.7,1,0.58,3,2,66.7,0,0,1,1,100,NA,NA,NA,NA,NA,"https://fbref.com/en/players/39bb3305/Cheick-NDiaye"
"802",2013,"Roma","Serie A","Mauro Goicoechea","URU","GK","24",1988,15,13,1260,14,24,1.71,70,46,65.7,6,3,5,2,15.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/132bb875/Mauro-Goicoechea"
"803",2013,"Roma","Serie A","Bogdan Lobonț","ROU","GK","34",1978,5,5,405,4.5,2,0.44,15,13,86.7,4,0,1,2,40,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ee5fc087/Bogdan-Lobont"
"804",2013,"Roma","Serie A","Maarten Stekelenburg","NED","GK","29",1982,20,20,1755,18.5,30,1.54,92,62,67.4,8,5,6,3,15,NA,NA,NA,NA,NA,"https://fbref.com/en/players/fefce889/Maarten-Stekelenburg"
"805",2013,"Saint-Étienne","Ligue 1","Stéphane Ruffier","FRA","GK","25",1986,38,38,3420,38,32,0.84,118,86,72.9,16,15,7,17,44.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/cac76a72/Stephane-Ruffier"
"806",2013,"Sampdoria","Serie A","Tommaso Berni","ITA","GK","29",1983,3,2,235,2.6,5,1.91,18,13,72.2,1,0,2,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7b8f85c7/Tommaso-Berni"
"807",2013,"Sampdoria","Serie A","Angelo da Costa Júnior","BRA","GK","28",1983,4,4,360,4,7,1.75,25,18,72,1,2,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/18736214/Angelo-da-Costa-Junior"
"808",2013,"Sampdoria","Serie A","Sergio Romero","ARG","GK","25",1987,32,32,2825,31.4,39,1.24,133,94,70.7,9,8,14,9,28.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/1e26e376/Sergio-Romero"
"809",2013,"Schalke 04","Bundesliga","Timo Hildebrand","GER","GK","33",1979,21,21,1890,21,34,1.62,82,48,58.5,9,5,7,4,19,NA,NA,NA,NA,NA,"https://fbref.com/en/players/672b5171/Timo-Hildebrand"
"810",2013,"Schalke 04","Bundesliga","Lars Unnerstall","GER","GK","22",1990,13,13,1170,13,16,1.23,44,28,63.6,7,2,4,4,30.8,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4b1793b0/Lars-Unnerstall"
"811",2013,"Sevilla","La Liga","Beto","POR","GK","30",1982,14,14,1260,14,21,1.5,62,41,66.1,5,2,7,2,14.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/3b4941e4/Beto"
"812",2013,"Sevilla","La Liga","Julián Cuesta","ESP","GK","21",1991,1,1,90,1,0,0,3,3,100,1,0,0,1,100,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c7b52b90/Julian-Cuesta"
"813",2013,"Sevilla","La Liga","Diego López","ESP","GK","30",1981,8,8,663,7.4,11,1.49,27,16,59.3,3,2,2,1,12.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/73683fa9/Diego-Lopez"
"814",2013,"Sevilla","La Liga","Andrés Palop","ESP","GK","38",1973,16,15,1407,15.6,22,1.41,71,49,69,6,5,5,5,33.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9ab4e785/Andres-Palop"
"815",2013,"Siena","Serie A","Gianluca Pegolo","ITA","GK","31",1981,38,38,3420,38,57,1.5,195,138,70.8,9,9,20,12,31.6,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f058ed1f/Gianluca-Pegolo"
"816",2013,"Sochaux","Ligue 1","Pierrick Cros","FRA","GK","21",1991,4,4,360,4,9,2.25,18,9,50,0,0,4,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f48570a0/Pierrick-Cros"
"817",2013,"Sochaux","Ligue 1","Simon Pouplin","FRA","GK","27",1985,34,34,3060,34,48,1.41,168,120,71.4,10,11,13,8,23.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e76c18e4/Simon-Pouplin"
"818",2013,"Southampton","Premier League","Artur Boruc","POL","GK","32",1980,20,20,1755,19.5,28,1.44,70,42,60,4,8,7,5,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/34ccf6fa/Artur-Boruc"
"819",2013,"Southampton","Premier League","Kelvin Davis","ENG","GK","35",1976,10,9,855,9.5,20,2.11,49,29,59.2,2,3,5,1,11.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/33b6ee02/Kelvin-Davis"
"820",2013,"Southampton","Premier League","Paulo Gazzaniga","ARG","GK","20",1992,9,9,810,9,12,1.33,43,31,72.1,3,3,3,1,11.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/63d17038/Paulo-Gazzaniga"
"821",2013,"Stoke City","Premier League","Asmir Begović","BIH","GK","25",1987,38,38,3420,38,45,1.18,154,109,70.8,9,15,14,12,31.6,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7b4de647/Asmir-Begovic"
"822",2013,"Stuttgart","Bundesliga","Sven Ulreich","GER","GK","23",1988,34,34,3060,34,55,1.62,169,114,67.5,12,7,15,8,23.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
"823",2013,"Sunderland","Premier League","Simon Mignolet","BEL","GK","24",1988,38,38,3420,38,54,1.42,200,146,73,9,12,17,11,28.9,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d436eb94/Simon-Mignolet"
"824",2013,"Swansea City","Premier League","Gerhard Tremmel","GER","GK","33",1978,14,12,1113,12.4,13,1.05,72,59,81.9,4,4,4,3,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4370cecc/Gerhard-Tremmel"
"825",2013,"Swansea City","Premier League","Michel Vorm","NED","GK","28",1983,26,26,2307,25.6,38,1.48,129,91,70.5,7,9,10,7,26.9,NA,NA,NA,NA,NA,"https://fbref.com/en/players/1bebde9d/Michel-Vorm"
"826",2013,"Torino","Serie A","Ferdinando Coppola","ITA","GK","34",1978,1,1,90,1,2,2,4,2,50,0,1,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7feaf90b/Ferdinando-Coppola"
"827",2013,"Torino","Serie A","Jean-François Gillet","BEL","GK","33",1979,37,37,3330,37,53,1.43,154,101,65.6,8,15,14,12,32.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ee013fa5/Jean-Francois-Gillet"
"828",2013,"Tottenham","Premier League","Brad Friedel","USA","GK","41",1971,11,11,990,11,17,1.55,45,28,62.2,5,2,4,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b8c0a975/Brad-Friedel"
"829",2013,"Tottenham","Premier League","Hugo Lloris","FRA","GK","25",1986,27,27,2430,27,29,1.07,82,53,64.6,16,7,4,9,33.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8f62b6ee/Hugo-Lloris"
"830",2013,"Toulouse","Ligue 1","Ali Ahamada","COM","GK","20",1991,36,35,3154,35,41,1.17,162,121,74.7,13,12,11,13,37.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0b64b1e6/Ali-Ahamada"
"831",2013,"Toulouse","Ligue 1","Olivier Blondel","FRA","GK","33",1979,4,3,266,3,6,2.03,14,8,57.1,0,0,2,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ccfbb10d/Olivier-Blondel"
"832",2013,"Troyes","Ligue 1","Yohann Thuram-Ulien","FRA","GK","23",1988,38,38,3420,38,61,1.61,189,128,67.7,8,13,17,7,18.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d3e78488/Yohann-Thuram-Ulien"
"833",2013,"Udinese","Serie A","Željko Brkić","SRB","GK","26",1986,31,31,2662,29.6,32,1.08,127,95,74.8,15,10,4,10,32.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5b8e51a8/Zeljko-Brkic"
"834",2013,"Udinese","Serie A","Daniele Padelli","ITA","GK","26",1985,9,7,758,8.4,13,1.54,41,28,68.3,3,2,4,3,42.9,NA,NA,NA,NA,NA,"https://fbref.com/en/players/cf1c23d8/Daniele-Padelli"
"835",2013,"Valencia","La Liga","Diego Alves","BRA","GK","27",1985,24,24,2160,24,39,1.62,119,80,67.2,11,5,8,5,20.8,NA,NA,NA,NA,NA,"https://fbref.com/en/players/12421a7c/Diego-Alves"
"836",2013,"Valencia","La Liga","Vicente Guaita","ESP","GK","25",1987,14,14,1260,14,15,1.07,53,38,71.7,8,3,3,6,42.9,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ab13a5aa/Vicente-Guaita"
"837",2013,"Valenciennes","Ligue 1","Nicolas Penneteau","FRA","GK","31",1981,38,38,3420,38,53,1.39,176,123,69.9,12,12,14,9,23.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/3870f7c3/Nicolas-Penneteau"
"838",2013,"Valladolid","La Liga","Dani Hernández","VEN","GK","26",1985,24,24,2160,24,37,1.54,127,90,70.9,7,7,10,6,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ba02295e/Dani-Hernandez"
"839",2013,"Valladolid","La Liga","Jaime","ESP","GK","31",1980,14,14,1260,14,21,1.5,81,60,74.1,4,3,7,3,21.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d7f052c3/Jaime"
"840",2013,"Werder Bremen","Bundesliga","Sebastian Mielitz","GER","GK","23",1989,34,34,3060,34,66,1.94,157,91,58,8,10,16,3,8.8,NA,NA,NA,NA,NA,"https://fbref.com/en/players/51d90d26/Sebastian-Mielitz"
"841",2013,"West Brom","Premier League","Ben Foster","ENG","GK","29",1983,30,30,2700,30,46,1.53,139,93,66.9,11,6,13,7,23.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d0b3ceb9/Ben-Foster"
"842",2013,"West Brom","Premier League","Boaz Myhill","WAL","GK","29",1982,8,8,720,8,11,1.37,38,27,71.1,3,1,4,1,12.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7ca2d989/Boaz-Myhill"
"843",2013,"West Ham","Premier League","Jussi Jääskeläinen","FIN","GK","37",1975,38,38,3420,38,53,1.39,215,162,75.3,12,10,16,11,28.9,NA,NA,NA,NA,NA,"https://fbref.com/en/players/340d2a24/Jussi-Jaaskelainen"
"844",2013,"Wigan Athletic","Premier League","Ali Al-Habsi","OMA","GK","30",1981,29,29,2610,29,57,1.97,149,92,61.7,6,7,16,4,13.8,NA,NA,NA,NA,NA,"https://fbref.com/en/players/032f766b/Ali-Al-Habsi"
"845",2013,"Wigan Athletic","Premier League","Joel Robles","ESP","GK","22",1990,9,9,810,9,16,1.78,39,23,59,3,2,4,1,11.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/cda0b317/Joel-Robles"
"846",2013,"Wolfsburg","Bundesliga","Diego Benaglio","SUI","GK","28",1983,34,34,3060,34,52,1.53,162,110,67.9,10,13,11,5,14.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b7e7937d/Diego-Benaglio"
"847",2013,"Zaragoza","La Liga","Pablo Alcolea","ESP","GK","23",1989,2,1,103,1.1,2,1.75,5,3,60,0,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7d093d18/Pablo-Alcolea"
"848",2013,"Zaragoza","La Liga","Leo Franco","ARG","GK","35",1977,4,4,347,3.9,9,2.33,15,6,40,0,2,2,1,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c39a5c6b/Leo-Franco"
"849",2013,"Zaragoza","La Liga","Roberto","ESP","GK","26",1986,33,33,2970,33,51,1.55,144,93,64.6,9,5,19,5,15.2,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ba3ca78f/Roberto"
"850",2014,"Ajaccio","Ligue 1","Guillermo Ochoa","MEX","GK","28",1985,37,37,3330,37,71,1.92,218,147,67.4,4,10,23,2,5.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa"
"851",2014,"Ajaccio","Ligue 1","Oumar Sissoko","MLI","GK","25",1987,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/41504e47/Oumar-Sissoko"
"852",2014,"Almería","La Liga","Esteban","ESP","GK","38",1975,38,38,3420,38,71,1.87,214,143,66.8,11,7,20,10,26.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e4fc2638/Esteban"
"853",2014,"Arsenal","Premier League","Wojciech Szczęsny","POL","GK","23",1990,37,37,3330,37,41,1.11,147,106,72.1,23,7,7,16,43.2,NA,NA,NA,NA,NA,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny"
"854",2014,"Aston Villa","Premier League","Brad Guzan","USA","GK","28",1984,38,38,3420,38,61,1.61,174,113,64.9,10,8,20,9,23.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d899e3bf/Brad-Guzan"
"855",2014,"Atalanta","Serie A","Andrea Consigli","ITA","GK","26",1987,35,35,3150,35,48,1.37,182,134,73.6,13,5,17,8,22.9,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8cabdc1e/Andrea-Consigli"
"856",2014,"Atalanta","Serie A","Marco Sportiello","ITA","GK","21",1992,3,3,270,3,3,1,16,13,81.3,2,0,1,1,33.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ac4003af/Marco-Sportiello"
"857",2014,"Athletic Club","La Liga","Iago Herrerín","ESP","GK","25",1988,6,5,495,5.5,7,1.27,25,18,72,3,2,1,3,60,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9109185e/Iago-Herrerin"
"858",2014,"Athletic Club","La Liga","Gorka Iraizoz","ESP","GK","32",1981,33,33,2925,32.5,32,0.98,113,81,71.7,17,8,7,9,27.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/26f2473f/Gorka-Iraizoz"
"859",2014,"Atlético Madrid","La Liga","Daniel Aranzubia","ESP","GK","33",1979,1,1,84,0.9,1,1.07,3,2,66.7,0,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0e9ce3e0/Daniel-Aranzubia"
"860",2014,"Atlético Madrid","La Liga","Thibaut Courtois","BEL","GK","21",1992,37,37,3330,37,24,0.65,96,72,75,28,6,3,20,54.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/1840e36d/Thibaut-Courtois"
"861",2014,"Atlético Madrid","La Liga","Gabi","ESP","MF","30",1983,1,0,6,34.6,1,15,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/65d750b5/Gabi"
"862",2014,"Augsburg","Bundesliga","Mohamed Amsif","MAR","GK","24",1989,2,2,180,2,5,2.5,10,5,50,0,0,2,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5c3f2927/Mohamed-Amsif"
"863",2014,"Augsburg","Bundesliga","Marwin Hitz","SUI","GK","25",1987,19,19,1710,19,20,1.05,85,65,76.5,10,5,4,7,36.8,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2e7ff968/Marwin-Hitz"
"864",2014,"Augsburg","Bundesliga","Alex Manninger","AUT","GK","36",1977,13,13,1170,13,22,1.69,69,47,68.1,5,2,6,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/eb55b1bc/Alex-Manninger"
"865",2014,"Barcelona","La Liga","José Manuel Pinto","ESP","GK","37",1975,13,12,1148,12.8,12,0.94,41,29,70.7,7,3,2,3,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4a3cd9b7/Jose-Manuel-Pinto"
"866",2014,"Barcelona","La Liga","Víctor Valdés","ESP","GK","31",1982,26,26,2272,25.2,21,0.83,89,68,76.4,20,3,3,12,46.2,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e029e404/Victor-Valdes"
"867",2014,"Bastia","Ligue 1","Mickaël Landreau","FRA","GK","34",1979,31,31,2707,30.1,44,1.46,130,86,66.2,10,10,11,10,32.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/12bf5523/Mickael-Landreau"
"868",2014,"Bastia","Ligue 1","Jean-Louis Leca","FRA","GK","27",1985,9,7,713,7.9,12,1.51,32,20,62.5,3,0,4,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/edbe46dc/Jean-Louis-Leca"
"869",2014,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","27",1986,31,31,2745,30.5,18,0.59,99,81,81.8,26,2,2,15,48.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
"870",2014,"Bayern Munich","Bundesliga","Lukas Raeder","GER","GK","19",1993,2,1,135,1.5,2,1.33,5,3,60,1,1,0,1,100,NA,NA,NA,NA,NA,"https://fbref.com/en/players/014662c1/Lukas-Raeder"
"871",2014,"Bayern Munich","Bundesliga","Tom Starke","GER","GK","32",1981,2,2,180,2,3,1.5,12,9,75,2,0,0,1,50,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5b52d1f7/Tom-Starke"
"872",2014,"Betis","La Liga","Antonio Adán","ESP","GK","26",1987,17,17,1522,16.9,31,1.83,102,71,69.6,4,2,11,3,17.6,NA,NA,NA,NA,NA,"https://fbref.com/en/players/65d62814/Antonio-Adan"
"873",2014,"Betis","La Liga","Stephan Andersen","DEN","GK","31",1981,7,6,585,6.5,21,3.23,47,26,55.3,0,1,6,1,16.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/314c2af0/Stephan-Andersen"
"874",2014,"Betis","La Liga","Pedro López","ESP","GK","18",1995,1,0,8,0.1,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/bfa29677/Pedro-Lopez"
"875",2014,"Betis","La Liga","Guillermo Sara","ARG","GK","25",1987,15,15,1305,14.5,26,1.79,93,67,72,2,4,8,4,26.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/efd66e36/Guillermo-Sara"
"876",2014,"Bologna","Serie A","Gianluca Curci","ITA","GK","28",1985,37,37,3330,37,57,1.54,172,115,66.9,5,14,18,9,24.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/40ca7873/Gianluca-Curci"
"877",2014,"Bologna","Serie A","Dejan Stojanović","AUT","GK","20",1993,1,1,90,1,1,1,7,6,85.7,0,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d00539cf/Dejan-Stojanovic"
"878",2014,"Bordeaux","Ligue 1","Cédric Carrasso","FRA","GK","31",1981,36,36,3189,35.4,34,0.96,143,109,76.2,12,12,11,7,19.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/17f5a888/Cedric-Carrasso"
"879",2014,"Bordeaux","Ligue 1","Ažbe Jug","SVN","GK","21",1992,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e47bb609/Azbe-Jug"
"880",2014,"Bordeaux","Ligue 1","Kévin Olimpa","FRA","GK","25",1988,2,1,141,1.6,2,1.28,5,3,60,0,2,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4928a632/Kevin-Olimpa"
"881",2014,"Braunschweig","Bundesliga","Daniel Davari","IRN","GK","25",1988,29,29,2610,29,48,1.66,171,123,71.9,6,6,17,6,20.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5a7cfc96/Daniel-Davari"
"882",2014,"Braunschweig","Bundesliga","Marjan Petković","GER","GK","34",1979,5,5,450,5,12,2.4,28,16,57.1,0,1,4,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/73b30903/Marjan-Petkovic"
"883",2014,"Cagliari","Serie A","Antonio Adán","ESP","GK","26",1987,2,2,180,2,4,2,10,6,60,0,1,1,1,50,NA,NA,NA,NA,NA,"https://fbref.com/en/players/65d62814/Antonio-Adan"
"884",2014,"Cagliari","Serie A","Michael Agazzi","ITA","GK","29",1984,11,11,990,11,19,1.73,51,32,62.7,3,2,6,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0eda0ab8/Michael-Agazzi"
"885",2014,"Cagliari","Serie A","Vlada Avramov","SRB","GK","34",1979,23,22,2016,22.4,25,1.12,92,67,72.8,6,7,9,5,22.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/baf76a08/Vlada-Avramov"
"886",2014,"Cagliari","Serie A","Marco Silvestri","ITA","GK","22",1991,3,3,234,2.6,5,1.92,21,16,76.2,0,2,1,1,33.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0d422df7/Marco-Silvestri"
"887",2014,"Cardiff City","Premier League","Joe Lewis","ENG","GK","25",1987,1,1,90,1,1,1,4,3,75,0,1,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d45bc2f4/Joe-Lewis"
"888",2014,"Cardiff City","Premier League","David Marshall","SCO","GK","28",1985,37,37,3330,37,73,1.97,216,143,66.2,7,8,22,7,18.9,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4d93d433/David-Marshall"
"889",2014,"Catania","Serie A","Mariano Andújar","ARG","GK","30",1983,24,24,2160,24,42,1.75,128,86,67.2,3,5,16,5,20.8,NA,NA,NA,NA,NA,"https://fbref.com/en/players/609cd867/Mariano-Andujar"
"890",2014,"Catania","Serie A","Alberto Frison","ITA","GK","25",1988,14,14,1260,14,24,1.71,81,57,70.4,5,3,6,3,21.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5abbec5f/Alberto-Frison"
"891",2014,"Celta Vigo","La Liga","Sergio Álvarez","ESP","GK","26",1986,3,3,270,3,2,0.67,22,20,90.9,2,0,1,2,66.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8875b8c9/Sergio-Alvarez"
"892",2014,"Celta Vigo","La Liga","Yoel","ESP","GK","24",1988,35,35,3150,35,52,1.49,166,114,68.7,12,7,16,7,20,NA,NA,NA,NA,NA,"https://fbref.com/en/players/61bb7498/Yoel"
"893",2014,"Chelsea","Premier League","Petr Čech","CZE","GK","31",1982,34,34,3060,34,24,0.71,103,79,76.7,23,6,5,16,47.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/71672fa0/Petr-Cech"
"894",2014,"Chelsea","Premier League","Mark Schwarzer","AUS","GK","40",1972,4,4,360,4,3,0.75,18,15,83.3,2,1,1,2,50,NA,NA,NA,NA,NA,"https://fbref.com/en/players/da409c6f/Mark-Schwarzer"
"895",2014,"Chievo","Serie A","Michael Agazzi","ITA","GK","29",1984,14,14,1260,14,21,1.5,64,43,67.2,5,0,9,3,21.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0eda0ab8/Michael-Agazzi"
"896",2014,"Chievo","Serie A","Christian Puggioni","ITA","GK","32",1981,23,23,2070,23,32,1.39,98,66,67.3,4,6,13,7,30.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b39dfab0/Christian-Puggioni"
"897",2014,"Chievo","Serie A","Lorenzo Squizzi","ITA","GK","39",1974,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e9285c4a/Lorenzo-Squizzi"
"898",2014,"Crystal Palace","Premier League","Wayne Hennessey","WAL","GK","26",1987,1,1,90,1,2,2,5,3,60,0,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/76eca7e2/Wayne-Hennessey"
"899",2014,"Crystal Palace","Premier League","Julián Speroni","ARG","GK","34",1979,37,37,3330,37,46,1.24,164,118,72,13,6,18,12,32.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8e65a5e5/Julian-Speroni"
"900",2014,"Dortmund","Bundesliga","Mitchell Langerak","AUS","GK","24",1988,4,4,360,4,5,1.25,14,9,64.3,3,1,0,1,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d2a184cc/Mitchell-Langerak"
"901",2014,"Dortmund","Bundesliga","Roman Weidenfeller","GER","GK","32",1980,30,30,2700,30,33,1.1,106,73,68.9,19,4,7,10,33.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller"
"902",2014,"Eint Frankfurt","Bundesliga","Kevin Trapp","GER","GK","23",1990,34,34,3046,33.8,57,1.68,188,131,69.7,9,9,16,9,26.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ce17b5eb/Kevin-Trapp"
"903",2014,"Eint Frankfurt","Bundesliga","Felix Wiedwald","GER","GK","23",1990,1,0,14,0.2,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e2d34771/Felix-Wiedwald"
"904",2014,"Elche","La Liga","Manu Herrera","ESP","GK","31",1981,30,29,2625,29.2,35,1.2,125,90,72,7,10,12,9,31,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ad2acc39/Manu-Herrera"
"905",2014,"Elche","La Liga","Toño","ESP","GK","33",1979,9,9,795,8.8,15,1.7,34,19,55.9,2,3,4,2,22.2,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2ed4ea81/Tono"
"906",2014,"Espanyol","La Liga","Kiko Casilla","ESP","GK","26",1986,37,37,3323,36.9,47,1.27,154,107,69.5,11,9,17,9,24.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/58bc7d18/Kiko-Casilla"
"907",2014,"Espanyol","La Liga","Germán Parreño","ESP","GK","20",1993,1,1,90,1,4,4,7,3,42.9,0,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/1561cd53/German-Parreno"
"908",2014,"Everton","Premier League","Tim Howard","USA","GK","34",1979,37,37,3263,36.3,37,1.02,141,104,73.8,20,8,8,15,40.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c444465e/Tim-Howard"
