"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xA","A_minus_xA","KP","Final_Third","PPA","CrsPA","Prog","Url","xAG","A_minus_xAG"
"176",2018,"Tottenham","Premier League","opponent",25,38,10317,14476,71.3,216519,85643,4150,4970,83.5,3982,5029,79.2,1957,3874,50.5,22,23,-1,252,760,212,61,861,"https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats",NA,NA
"177",2018,"Toulouse","Ligue 1","team",25,38,10831,15139,71.5,221452,92052,4072,5044,80.7,4582,5767,79.5,1898,3595,52.8,24,28.3,-4.3,301,1127,236,112,1134,"https://fbref.com/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats",NA,NA
"178",2018,"Toulouse","Ligue 1","opponent",25,38,14221,18514,76.8,272676,100317,5926,6915,85.7,5934,7072,83.9,2055,3762,54.6,35,39,-4,377,1219,307,96,1312,"https://fbref.com/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats",NA,NA
"179",2018,"Troyes","Ligue 1","team",25,38,11486,15719,73.1,227045,86974,4545,5509,82.5,4696,5836,80.5,1950,3606,54.1,21,24.7,-3.7,266,969,234,81,1120,"https://fbref.com/en/squads/54195385/2017-2018/Troyes-Stats",NA,NA
"180",2018,"Troyes","Ligue 1","opponent",25,38,17185,21445,80.1,335001,106557,6699,7717,86.8,7535,8760,86,2586,4203,61.5,40,35.5,4.5,396,1373,287,101,1388,"https://fbref.com/en/squads/54195385/2017-2018/Troyes-Stats",NA,NA
"181",2018,"Udinese","Serie A","team",27,38,12619,16647,75.8,257575,94228,4682,5536,84.6,5694,6838,83.3,2113,3824,55.3,27,29.8,-0.8,333,927,265,79,1193,"https://fbref.com/en/squads/04eea015/2017-2018/Udinese-Stats",NA,NA
"182",2018,"Udinese","Serie A","opponent",27,38,16604,20789,79.9,325113,108487,6715,7729,86.9,7077,8270,85.6,2574,4143,62.1,41,32.2,8.8,380,1308,310,80,1536,"https://fbref.com/en/squads/04eea015/2017-2018/Udinese-Stats",NA,NA
"183",2018,"Valencia","La Liga","team",25,38,13926,17595,79.1,280942,97873,5125,6090,84.2,6616,7689,86,2050,3431,59.7,45,38.7,6.3,357,1168,308,70,1372,"https://fbref.com/en/squads/dcc91a7b/2017-2018/Valencia-Stats",NA,NA
"184",2018,"Valencia","La Liga","opponent",25,38,15141,19083,79.3,294272,99980,6277,7213,87,6476,7542,85.9,2190,3819,57.3,28,31.1,-3.1,346,1235,333,106,1327,"https://fbref.com/en/squads/dcc91a7b/2017-2018/Valencia-Stats",NA,NA
"185",2018,"Villarreal","La Liga","team",32,38,14755,18568,79.5,289585,101331,5897,6813,86.6,6544,7716,84.8,2160,3585,60.3,45,37.7,7.3,373,1079,258,75,1232,"https://fbref.com/en/squads/2a8183b3/2017-2018/Villarreal-Stats",NA,NA
"186",2018,"Villarreal","La Liga","opponent",32,38,14551,18522,78.6,289990,99403,5888,6838,86.1,6208,7315,84.9,2288,3865,59.2,37,34,3,376,1217,330,102,1315,"https://fbref.com/en/squads/2a8183b3/2017-2018/Villarreal-Stats",NA,NA
"187",2018,"Watford","Premier League","team",29,38,12739,17187,74.1,251768,95691,5507,6409,85.9,4949,6191,79.9,2039,3872,52.7,27,29.8,-2.8,298,1030,293,82,1186,"https://fbref.com/en/squads/2abfe087/2017-2018/Watford-Stats",NA,NA
"188",2018,"Watford","Premier League","opponent",29,38,13423,17653,76,270740,98021,5497,6412,85.7,5434,6557,82.9,2231,4001,55.8,43,35.7,7.3,286,1026,255,60,1155,"https://fbref.com/en/squads/2abfe087/2017-2018/Watford-Stats",NA,NA
"189",2018,"Werder Bremen","Bundesliga","team",25,34,12071,16061,75.2,250402,92840,4356,5266,82.7,5416,6565,82.5,2137,3657,58.4,27,30.4,-4.4,318,978,264,89,1250,"https://fbref.com/en/squads/62add3bf/2017-2018/Werder-Bremen-Stats",NA,NA
"190",2018,"Werder Bremen","Bundesliga","opponent",25,34,14019,17883,78.4,272236,96270,5735,6645,86.3,6016,7071,85.1,2056,3648,56.4,27,33.7,-6.7,300,1018,265,75,1229,"https://fbref.com/en/squads/62add3bf/2017-2018/Werder-Bremen-Stats",NA,NA
"191",2018,"West Brom","Premier League","team",24,38,10477,14707,71.2,220256,91357,4164,4923,84.6,4194,5223,80.3,1916,3958,48.4,24,23.3,0.7,262,924,235,107,972,"https://fbref.com/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats",NA,NA
"192",2018,"West Brom","Premier League","opponent",24,38,17670,21796,81.1,346246,113417,7295,8190,89.1,7405,8574,86.4,2627,4287,61.3,44,36.4,7.6,373,1487,371,84,1639,"https://fbref.com/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats",NA,NA
"193",2018,"West Ham","Premier League","team",27,38,11769,15938,73.8,231707,87818,5214,5999,86.9,4411,5437,81.1,1884,3828,49.2,29,25.3,7.7,268,878,228,74,960,"https://fbref.com/en/squads/7c21e445/2017-2018/West-Ham-United-Stats",NA,NA
"194",2018,"West Ham","Premier League","opponent",27,38,15888,19944,79.7,303650,106048,6684,7612,87.8,6700,7816,85.7,2152,3726,57.8,48,41.1,6.9,422,1263,330,81,1442,"https://fbref.com/en/squads/7c21e445/2017-2018/West-Ham-United-Stats",NA,NA
"195",2018,"Wolfsburg","Bundesliga","team",29,34,12757,16363,78,264609,92068,4560,5336,85.5,5808,6825,85.1,2250,3776,59.6,26,25.2,0.8,245,938,208,66,1097,"https://fbref.com/en/squads/4eaa11d7/2017-2018/Wolfsburg-Stats",NA,NA
