"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Vs","Att_Vs","Tkl_percent_Vs","Past_Vs","Press_Pressures","Succ_Pressures","_percent_Pressures","Def 3rd_Pressures","Mid 3rd_Pressures","Att 3rd_Pressures","Blocks_Blocks","Sh_Blocks","ShSv_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
"739",2021,"Roma","Serie A","team",31,38,558,390,225,257,76,163,568,28.7,405,5570,1599,28.7,1614,2644,1312,499,98,3,401,457,1015,647,12,"https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats"
"740",2021,"Roma","Serie A","opponent",31,38,562,345,302,208,52,226,641,35.3,415,5299,1509,28.5,1794,2280,1225,604,155,1,449,460,1022,762,12,"https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats"
"741",2021,"Saint-Étienne","Ligue 1","team",40,38,803,496,446,268,89,258,713,36.2,455,5927,1827,30.8,1917,2633,1377,557,105,2,452,447,1250,891,16,"https://fbref.com/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats"
"742",2021,"Saint-Étienne","Ligue 1","opponent",40,38,852,496,377,362,113,322,848,38,526,5608,1750,31.2,1697,2592,1319,565,118,4,447,396,1248,933,5,"https://fbref.com/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats"
"743",2021,"Sampdoria","Serie A","team",27,38,637,398,306,262,69,186,597,31.2,411,6173,1763,28.6,1989,2707,1477,661,170,5,491,410,1047,859,10,"https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats"
"744",2021,"Sampdoria","Serie A","opponent",27,38,533,316,240,209,84,179,470,38.1,291,4795,1538,32.1,1599,2083,1113,625,141,1,484,424,957,949,8,"https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats"
"745",2021,"Sassuolo","Serie A","team",28,38,594,369,301,188,105,197,515,38.3,318,4943,1515,30.6,1571,2027,1345,575,158,2,417,372,966,762,8,"https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats"
"746",2021,"Sassuolo","Serie A","opponent",28,38,685,406,359,221,105,248,682,36.4,434,6301,1682,26.7,2222,2623,1456,603,161,1,442,418,1103,701,10,"https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats"
"747",2021,"Schalke 04","Bundesliga","team",42,34,626,375,326,242,58,196,582,33.7,386,5325,1572,29.5,2032,2328,965,617,160,2,457,467,1093,789,10,"https://fbref.com/en/squads/c539e393/2020-2021/Schalke-04-Stats"
"748",2021,"Schalke 04","Bundesliga","opponent",42,34,676,418,248,320,108,230,630,36.5,400,4807,1599,33.3,1174,2323,1310,536,100,0,436,380,1056,624,7,"https://fbref.com/en/squads/c539e393/2020-2021/Schalke-04-Stats"
"749",2021,"Sevilla","La Liga","team",26,38,571,389,253,242,76,200,546,36.6,346,4716,1477,31.3,1392,2199,1125,503,95,3,408,334,905,767,8,"https://fbref.com/en/squads/ad2be733/2020-2021/Sevilla-Stats"
"750",2021,"Sevilla","La Liga","opponent",26,38,584,355,282,230,72,174,598,29.1,424,5597,1353,24.2,1777,2502,1318,515,103,4,412,383,967,779,3,"https://fbref.com/en/squads/ad2be733/2020-2021/Sevilla-Stats"
"751",2021,"Sheffield Utd","Premier League","team",27,38,669,368,346,252,71,248,713,34.8,465,6123,1518,24.8,2080,2631,1412,630,165,9,465,440,1109,1015,19,"https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats"
"752",2021,"Sheffield Utd","Premier League","opponent",27,38,569,361,325,186,58,180,512,35.2,332,4351,1337,30.7,1657,1710,984,495,103,4,392,314,883,975,4,"https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats"
"753",2021,"Southampton","Premier League","team",29,38,784,455,380,319,85,296,747,39.6,451,5724,1785,31.2,1972,2505,1247,623,111,1,512,436,1220,856,10,"https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats"
