"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","Drib_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","Drib_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
"178",2018,"Atlético Madrid","La Liga","Lucas Hernández","FRA","DF","21",1996,23.5,16,0.68,12,1,0,0,2,1,2,0.09,1,0,0,0,1,0,"https://fbref.com/en/players/c3ee18ef/Lucas-Hernandez"
"179",2018,"Atlético Madrid","La Liga","Carlos Isaac","ESP","DF","19",1998,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3e5a168c/Carlos-Isaac"
"180",2018,"Atlético Madrid","La Liga","Juanfran","ESP","DF","32",1985,14.5,21,1.45,17,2,0,0,1,1,4,0.28,3,0,0,0,0,1,"https://fbref.com/en/players/cfd8d664/Juanfran"
"181",2018,"Atlético Madrid","La Liga","Koke","ESP","MF,FW","25",1992,30.6,88,2.87,55,26,1,3,3,0,11,0.36,9,1,0,0,1,0,"https://fbref.com/en/players/55126f3b/Koke"
"182",2018,"Atlético Madrid","La Liga","Filipe Luís","BRA","DF","31",1985,18.4,31,1.68,30,0,0,0,1,0,5,0.27,5,0,0,0,0,0,"https://fbref.com/en/players/e4ed2628/Filipe-Luis"
"183",2018,"Atlético Madrid","La Liga","José María Giménez","URU","DF","22",1995,18.8,6,0.32,5,0,0,1,0,0,2,0.11,1,0,0,1,0,0,"https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez"
"184",2018,"Atlético Madrid","La Liga","Toni Moya","ESP","DF","19",1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9e098912/Toni-Moya"
"185",2018,"Atlético Madrid","La Liga","Saúl Ñíguez","ESP","MF","22",1994,35.1,56,1.6,41,0,3,4,4,4,10,0.29,7,0,0,1,2,0,"https://fbref.com/en/players/c14bc029/Saul-Niguez"
"186",2018,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","24",1993,37,3,0.08,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
"187",2018,"Atlético Madrid","La Liga","Thomas Partey","GHA","MF,DF","24",1993,26.4,36,1.36,31,1,1,1,2,0,4,0.15,4,0,0,0,0,0,"https://fbref.com/en/players/529f49ab/Thomas-Partey"
"188",2018,"Atlético Madrid","La Liga","Arona Sané","SEN","MF","22",1995,0.7,2,2.77,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/22df75d8/Arona-Sane"
"189",2018,"Atlético Madrid","La Liga","Stefan Savić","MNE","DF","26",1991,25.5,6,0.23,4,0,0,0,1,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f6ac68c1/Stefan-Savic"
"190",2018,"Atlético Madrid","La Liga","Fernando Torres","ESP","FW","33",1984,10.9,17,1.56,7,0,3,2,5,0,3,0.27,0,0,2,1,0,0,"https://fbref.com/en/players/bdf7b97d/Fernando-Torres"
"191",2018,"Atlético Madrid","La Liga","Luciano Vietto","ARG","FW","23",1993,3,2,0.67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2513a588/Luciano-Vietto"
"192",2018,"Atlético Madrid","La Liga","Vitolo","ESP","MF,FW","27",1989,6.9,13,1.89,10,0,0,0,3,0,3,0.44,3,0,0,0,0,0,"https://fbref.com/en/players/db750822/Vitolo"
"193",2018,"Atlético Madrid","La Liga","Šime Vrsaljko","CRO","DF,MF","25",1992,18.8,19,1.01,16,2,0,0,1,0,4,0.21,4,0,0,0,0,0,"https://fbref.com/en/players/46a8347f/Sime-Vrsaljko"
"194",2018,"Atlético Madrid","La Liga","Axel Werner","ARG","GK","21",1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c0b1a6da/Axel-Werner"
"195",2018,"Augsburg","Bundesliga","Simon Asta","GER","MF","16",2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/dfc85b89/Simon-Asta"
"196",2018,"Augsburg","Bundesliga","Daniel Baier","GER","MF","33",1984,28.2,63,2.23,47,3,1,5,6,1,6,0.21,4,1,0,1,0,0,"https://fbref.com/en/players/f261abcb/Daniel-Baier"
"197",2018,"Augsburg","Bundesliga","Caiuby","BRA","FW,MF","29",1988,31.7,71,2.24,51,1,7,8,4,0,13,0.41,9,0,0,4,0,0,"https://fbref.com/en/players/c6637acf/Caiuby"
"198",2018,"Augsburg","Bundesliga","Sergio Córdova","VEN","FW,MF","19",1997,6.5,19,2.91,13,1,0,3,1,1,2,0.31,1,0,0,1,0,0,"https://fbref.com/en/players/229cd98a/Sergio-Cordova"
"199",2018,"Augsburg","Bundesliga","Kevin Danso","AUT","DF","18",1998,12.3,15,1.22,9,2,2,1,0,1,1,0.08,0,0,0,1,0,0,"https://fbref.com/en/players/6e33125f/Kevin-Danso"
"200",2018,"Augsburg","Bundesliga","Ji Dong-won","KOR","FW,MF","26",1991,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7d841904/Ji-Dong-won"
"201",2018,"Augsburg","Bundesliga","Alfreð Finnbogason","ISL","FW","28",1989,20.2,58,2.88,41,1,6,7,3,0,8,0.4,6,0,0,1,1,0,"https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason"
"202",2018,"Augsburg","Bundesliga","Raphael Framberger","GER","DF","21",1995,7.7,17,2.2,16,1,0,0,0,0,1,0.13,1,0,0,0,0,0,"https://fbref.com/en/players/626fab5f/Raphael-Framberger"
"203",2018,"Augsburg","Bundesliga","Jeffrey Gouweleeuw","NED","DF","26",1991,26.5,18,0.68,11,2,1,1,1,2,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw"
"204",2018,"Augsburg","Bundesliga","Michael Gregoritsch","AUT","MF,FW","23",1994,28.1,64,2.28,45,3,2,7,6,1,11,0.39,6,1,1,1,2,0,"https://fbref.com/en/players/8e235926/Michael-Gregoritsch"
"205",2018,"Augsburg","Bundesliga","Marcel Heller","GER","FW,MF","31",1986,14.4,34,2.36,25,0,2,2,4,1,5,0.35,2,0,0,1,2,0,"https://fbref.com/en/players/11dbba47/Marcel-Heller"
"206",2018,"Augsburg","Bundesliga","Martin Hinteregger","AUT","DF","24",1992,29.5,18,0.61,14,0,2,1,0,1,1,0.03,1,0,0,0,0,0,"https://fbref.com/en/players/080440a4/Martin-Hinteregger"
"207",2018,"Augsburg","Bundesliga","Marwin Hitz","SUI","GK","29",1987,32,5,0.16,3,2,0,0,0,0,2,0.06,1,1,0,0,0,0,"https://fbref.com/en/players/2e7ff968/Marwin-Hitz"
"208",2018,"Augsburg","Bundesliga","Koo Ja-cheol","KOR","MF,FW","28",1989,22.7,37,1.63,26,0,3,1,6,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3c05e082/Koo-Ja-cheol"
"209",2018,"Augsburg","Bundesliga","Kilian Jakob","GER","FW","19",1998,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/99d6044d/Kilian-Jakob"
"210",2018,"Augsburg","Bundesliga","Christoph Janker","GER","DF","32",1985,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/cf01fe3a/Christoph-Janker"
"211",2018,"Augsburg","Bundesliga","Gojko Kačar","SRB","DF","30",1987,2.5,1,0.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/cc58c4ea/Gojko-Kacar"
"212",2018,"Augsburg","Bundesliga","Rani Khedira","GER","MF,DF","23",1994,25.3,19,0.75,16,1,0,1,0,1,2,0.08,1,0,0,0,0,1,"https://fbref.com/en/players/59e4b92e/Rani-Khedira"
"213",2018,"Augsburg","Bundesliga","Andreas Luthe","GER","GK","30",1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7fe12375/Andreas-Luthe"
"214",2018,"Augsburg","Bundesliga","Philipp Max","GER","DF","23",1993,32.9,110,3.35,63,44,0,1,0,2,14,0.43,11,3,0,0,0,0,"https://fbref.com/en/players/826e8b63/Philipp-Max"
"215",2018,"Augsburg","Bundesliga","Jan Morávek","CZE","MF","27",1989,7.8,15,1.93,14,0,0,0,0,1,2,0.26,2,0,0,0,0,0,"https://fbref.com/en/players/e7d22eae/Jan-Moravek"
"216",2018,"Augsburg","Bundesliga","Daniel Opare","GHA","DF,MF","26",1990,15.7,20,1.27,13,3,1,0,2,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/49d53c68/Daniel-Opare"
"217",2018,"Augsburg","Bundesliga","Shawn Parker","GER","DF,MF","24",1993,0.5,1,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b9ebc83e/Shawn-Parker"
"218",2018,"Augsburg","Bundesliga","Marco Richter","GER","FW,MF","19",1997,7.2,19,2.86,11,0,4,1,2,1,1,0.15,0,0,0,0,1,0,"https://fbref.com/en/players/f972644c/Marco-Richter"
"219",2018,"Augsburg","Bundesliga","Jonathan Schmid","FRA","DF,FW","27",1990,16.4,42,2.57,22,15,0,3,2,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/088ca1bd/Jonathan-Schmid"
"220",2018,"Augsburg","Bundesliga","Kostas Stafylidis","GRE","DF","23",1993,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/861e0116/Kostas-Stafylidis"
"221",2018,"Augsburg","Bundesliga","Erik Thommy","GER","FW","22",1994,1.9,8,4.29,8,0,0,0,0,0,1,0.54,1,0,0,0,0,0,"https://fbref.com/en/players/df8e7b62/Erik-Thommy"
"222",2018,"Barcelona","La Liga","Jordi Alba","ESP","DF","28",1989,30.5,57,1.87,54,0,0,1,0,2,11,0.36,10,0,0,1,0,0,"https://fbref.com/en/players/4601e194/Jordi-Alba"
"223",2018,"Barcelona","La Liga","Paco Alcácer","ESP","MF,FW","23",1993,7.7,17,2.2,13,0,0,3,1,0,6,0.78,3,0,0,2,1,0,"https://fbref.com/en/players/a7a9d95a/Paco-Alcacer"
"224",2018,"Barcelona","La Liga","José Arnaiz","ESP","MF","22",1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/46e07328/Jose-Arnaiz"
"225",2018,"Barcelona","La Liga","Sergio Busquets","ESP","MF","29",1988,28.8,61,2.12,53,1,0,0,4,3,11,0.38,9,0,0,0,1,1,"https://fbref.com/en/players/5ab0ea87/Sergio-Busquets"
"226",2018,"Barcelona","La Liga","Jasper Cillessen","NED","GK","28",1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen"
"227",2018,"Barcelona","La Liga","Philippe Coutinho","BRA","FW,MF","25",1992,14.4,53,3.68,40,8,1,1,2,1,7,0.49,6,1,0,0,0,0,"https://fbref.com/en/players/0ef89a37/Philippe-Coutinho"
"228",2018,"Barcelona","La Liga","Ousmane Dembélé","FRA","FW,MF","20",1997,10.3,50,4.86,34,9,3,3,1,0,11,1.07,8,0,1,2,0,0,"https://fbref.com/en/players/b19db005/Ousmane-Dembele"
"229",2018,"Barcelona","La Liga","Gerard Deulofeu","ESP","MF,FW","23",1994,5.6,17,3.04,11,3,1,0,1,1,2,0.36,1,0,0,0,0,1,"https://fbref.com/en/players/39583cfd/Gerard-Deulofeu"
"230",2018,"Barcelona","La Liga","Lucas Digne","FRA","DF","24",1993,7.8,10,1.28,8,0,0,0,0,2,2,0.26,2,0,0,0,0,0,"https://fbref.com/en/players/1b84dbe1/Lucas-Digne"
"231",2018,"Barcelona","La Liga","André Gomes","POR","MF,FW","24",1993,7.1,10,1.42,9,0,1,0,0,0,2,0.28,2,0,0,0,0,0,"https://fbref.com/en/players/1961b2aa/Andre-Gomes"
"232",2018,"Barcelona","La Liga","Andrés Iniesta","ESP","MF","33",1984,20.3,50,2.47,45,0,2,0,2,1,9,0.44,8,0,1,0,0,0,"https://fbref.com/en/players/cfd65a29/Andres-Iniesta"
