"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Succ_Dribbles","Att_Dribbles","Succ_percent_Dribbles","#Pl_Dribbles","Megs_Dribbles","Carries_Carries","TotDist_Carries","PrgDist_Carries","Prog_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Targ_Receiving","Rec_Receiving","Rec_percent_Receiving","Prog_Receiving","Url","Mis_Dribbles","Dis_Dribbles"
"157",2018,"Schalke 04","Bundesliga","team",24,46.7,34,19745,1876,6512,10303,4271,711,18186,382,626,61,411,18,12775,69494,38435,1453,467,138,455,422,14064,12031,85.5,1303,"https://fbref.com/en/squads/c539e393/2017-2018/Schalke-04-Stats",NA,NA
"158",2018,"Schalke 04","Bundesliga","opponent",24,53.3,34,21930,2219,7209,11189,4826,668,20332,337,581,58,376,18,14458,72137,36955,1413,414,98,462,465,16528,14220,86,1467,"https://fbref.com/en/squads/c539e393/2017-2018/Schalke-04-Stats",NA,NA
"159",2018,"Sevilla","La Liga","team",31,54.5,38,24358,2095,7401,12037,6470,1038,22855,387,598,64.7,420,21,16864,83220,44332,1843,552,211,440,428,18292,15991,87.4,1783,"https://fbref.com/en/squads/ad2be733/2017-2018/Sevilla-Stats",NA,NA
"160",2018,"Sevilla","La Liga","opponent",31,45.5,38,21326,2342,6962,10154,5584,859,19752,383,640,59.8,417,24,13970,74195,38916,1513,482,159,457,442,15185,12938,85.2,1389,"https://fbref.com/en/squads/ad2be733/2017-2018/Sevilla-Stats",NA,NA
"161",2018,"Southampton","Premier League","team",26,51.5,38,23453,2192,7154,11559,6166,810,21569,366,570,64.2,398,23,14188,71587,38746,1573,490,128,441,426,17304,14318,82.7,1351,"https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats",NA,NA
"162",2018,"Southampton","Premier League","opponent",26,48.5,38,22807,2360,7033,10734,6410,847,20861,367,632,58.1,399,24,13485,67193,36188,1602,516,117,477,533,16718,13740,82.2,1275,"https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats",NA,NA
"163",2018,"SPAL","Serie A","team",29,45.1,38,20466,2421,7272,9830,4724,606,18598,404,603,67,435,16,12893,66856,37702,1348,442,78,437,452,14138,12214,86.4,1263,"https://fbref.com/en/squads/1d2fe027/2017-2018/SPAL-Stats",NA,NA
"164",2018,"SPAL","Serie A","opponent",29,54.9,38,24175,1957,6502,12365,6928,967,22480,389,650,59.8,426,26,16158,83680,48437,1949,631,154,433,453,18395,16152,87.8,1877,"https://fbref.com/en/squads/1d2fe027/2017-2018/SPAL-Stats",NA,NA
"165",2018,"Stoke City","Premier League","team",30,41.3,38,19301,2678,6749,8870,4705,692,17418,353,637,55.4,391,27,10086,51704,26111,989,336,88,490,407,13010,10143,78,1041,"https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats",NA,NA
"166",2018,"Stoke City","Premier League","opponent",30,58.7,38,25578,2078,7420,12803,7028,1071,23586,357,645,55.3,390,33,15693,82851,45979,1855,556,186,502,517,19381,16379,84.5,1569,"https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats",NA,NA
"167",2018,"Strasbourg","Ligue 1","team",25,49.2,38,20790,2010,7764,9287,5265,726,19237,313,512,61.1,352,16,12886,72880,39176,1411,440,92,509,382,14298,12322,86.2,1445,"https://fbref.com/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats",NA,NA
"168",2018,"Strasbourg","Ligue 1","opponent",25,50.8,38,21530,1889,6929,10031,6203,833,19941,362,595,60.8,392,17,13734,81437,45415,1725,556,136,568,480,15292,13055,85.4,1774,"https://fbref.com/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats",NA,NA
"169",2018,"Stuttgart","Bundesliga","team",26,46.7,34,19993,2184,6714,9888,4532,622,18370,268,480,55.8,291,7,12154,60901,31924,1208,390,110,391,344,14704,12101,82.3,1304,"https://fbref.com/en/squads/598bc722/2017-2018/Stuttgart-Stats",NA,NA
"170",2018,"Stuttgart","Bundesliga","opponent",26,53.3,34,22122,1919,6608,11486,5520,774,20524,294,509,57.8,320,13,14461,78506,41431,1733,518,125,473,420,16732,14279,85.3,1705,"https://fbref.com/en/squads/598bc722/2017-2018/Stuttgart-Stats",NA,NA
"171",2018,"Swansea City","Premier League","team",26,45.2,38,21756,2594,7546,10500,5045,599,19903,339,604,56.1,372,17,13276,68489,35805,1316,375,82,462,461,16087,13274,82.5,1068,"https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats",NA,NA
"172",2018,"Swansea City","Premier League","opponent",26,54.8,38,26246,2130,7148,13514,7180,1014,24563,349,603,57.9,389,26,16971,85584,45873,2073,612,157,464,446,20510,17664,86.1,1542,"https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats",NA,NA
"173",2018,"Torino","Serie A","team",27,51,38,22935,2555,8018,10686,5740,818,21090,447,720,62.1,477,19,14920,79599,41055,1541,495,136,527,538,16626,14425,86.8,1528,"https://fbref.com/en/squads/105360fe/2017-2018/Torino-Stats",NA,NA
"174",2018,"Torino","Serie A","opponent",27,49,38,22119,2109,6842,10696,5983,802,20254,310,508,61,335,15,13819,71873,38767,1539,519,113,501,443,15832,13646,86.2,1613,"https://fbref.com/en/squads/105360fe/2017-2018/Torino-Stats",NA,NA
"175",2018,"Tottenham","Premier League","team",25,61.9,38,28270,2234,7458,14353,8298,1080,26311,446,755,59.1,491,36,18754,95275,51273,2319,682,164,525,550,22176,19290,87,1906,"https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats",NA,NA
"176",2018,"Tottenham","Premier League","opponent",25,38.1,38,19524,2853,7742,8493,4261,653,17742,339,602,56.3,376,33,10306,50897,25872,978,288,121,485,470,13146,10317,78.5,930,"https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats",NA,NA
"177",2018,"Toulouse","Ligue 1","team",25,45.6,38,19517,1938,6418,8717,5697,765,17861,322,549,58.7,356,22,11258,66954,36696,1400,443,127,507,428,13320,10831,81.3,1559,"https://fbref.com/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats",NA,NA
"178",2018,"Toulouse","Ligue 1","opponent",25,54.4,38,23049,2175,7937,10225,6446,792,21455,337,577,58.4,381,20,14656,83924,44965,1662,487,127,495,420,16692,14221,85.2,1658,"https://fbref.com/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats",NA,NA
"179",2018,"Troyes","Ligue 1","team",25,42.4,38,19927,2203,7699,8386,5189,596,18410,275,514,53.5,307,17,12107,70304,37005,1269,421,86,477,395,13772,11486,83.4,1437,"https://fbref.com/en/squads/54195385/2017-2018/Troyes-Stats",NA,NA
"180",2018,"Troyes","Ligue 1","opponent",25,57.6,38,25714,1779,7783,12756,7207,840,24295,382,582,65.6,417,7,17725,102994,56452,2156,710,136,489,396,19573,17185,87.8,1727,"https://fbref.com/en/squads/54195385/2017-2018/Troyes-Stats",NA,NA
"181",2018,"Udinese","Serie A","team",27,44.7,38,21100,2346,7194,10296,4907,690,19285,323,552,58.5,345,13,13063,67758,35789,1425,489,106,428,457,14782,12619,85.4,1487,"https://fbref.com/en/squads/04eea015/2017-2018/Udinese-Stats",NA,NA
"182",2018,"Udinese","Serie A","opponent",27,55.3,38,25128,2138,7093,13157,6574,874,23306,377,624,60.4,413,24,16871,86304,46415,1892,617,149,512,445,18941,16604,87.7,1775,"https://fbref.com/en/squads/04eea015/2017-2018/Udinese-Stats",NA,NA
"183",2018,"Valencia","La Liga","team",25,48.9,38,22123,2207,7215,10858,5475,852,20718,437,686,63.7,474,25,15095,77428,41053,1625,507,170,477,438,16238,13926,85.8,1577,"https://fbref.com/en/squads/dcc91a7b/2017-2018/Valencia-Stats",NA,NA
