"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
"24",2010,"Blackburn","Premier League","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e090f40b/2009-2010/Blackburn-Rovers-Stats"
"25",2010,"Bochum","Bundesliga","team",28,NA,67,4,NA,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/b42c6323/2009-2010/Bochum-Stats"
"26",2010,"Bochum","Bundesliga","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/b42c6323/2009-2010/Bochum-Stats"
"27",2010,"Bologna","Serie A","team",31,NA,71,3,NA,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/1d8099f8/2009-2010/Bologna-Stats"
"28",2010,"Bologna","Serie A","opponent",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/1d8099f8/2009-2010/Bologna-Stats"
"29",2010,"Bolton","Premier League","team",25,NA,72,5,NA,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/445d3104/2009-2010/Bolton-Wanderers-Stats"
"30",2010,"Bolton","Premier League","opponent",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/445d3104/2009-2010/Bolton-Wanderers-Stats"
"31",2010,"Bordeaux","Ligue 1","team",24,NA,65,6,NA,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/123f3efe/2009-2010/Bordeaux-Stats"
"32",2010,"Bordeaux","Ligue 1","opponent",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/123f3efe/2009-2010/Bordeaux-Stats"
"33",2010,"Boulogne","Ligue 1","team",33,NA,76,6,NA,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/98973a5c/2009-2010/Boulogne-Stats"
"34",2010,"Boulogne","Ligue 1","opponent",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/98973a5c/2009-2010/Boulogne-Stats"
"35",2010,"Burnley","Premier League","team",27,NA,55,2,NA,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/943e8050/2009-2010/Burnley-Stats"
"36",2010,"Burnley","Premier League","opponent",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/943e8050/2009-2010/Burnley-Stats"
"37",2010,"Cagliari","Serie A","team",27,NA,80,7,NA,643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c4260e09/2009-2010/Cagliari-Stats"
"38",2010,"Cagliari","Serie A","opponent",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c4260e09/2009-2010/Cagliari-Stats"
"39",2010,"Catania","Serie A","team",30,NA,91,7,NA,776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7b046f08/2009-2010/Catania-Stats"
"40",2010,"Catania","Serie A","opponent",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7b046f08/2009-2010/Catania-Stats"
"41",2010,"Chelsea","Premier League","team",30,NA,54,5,NA,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cff3d9bb/2009-2010/Chelsea-Stats"
"42",2010,"Chelsea","Premier League","opponent",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cff3d9bb/2009-2010/Chelsea-Stats"
"43",2010,"Chievo","Serie A","team",26,NA,102,5,NA,773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cc919b35/2009-2010/Chievo-Stats"
