"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"1","Premier League","2021-08-13","Premier League (Matchweek 1)","Brentford","3-5-2",2,1.6,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;","0","0","Arsenal","4-2-3-1",0,1.6,"","0","0","https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",22,FALSE,1,"Goal","Sergi Canós Assist: Ethan Pinnock","1:0",NA
"2","Premier League","2021-08-13","Premier League (Matchweek 1)","Brentford","3-5-2",2,1.6,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;","0","0","Arsenal","4-2-3-1",0,1.6,"","0","0","https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Arsenal","Away",59,FALSE,2,"Substitute","Bukayo Saka for Folarin Balogun","1:0",NA
"3","Premier League","2021-08-13","Premier League (Matchweek 1)","Brentford","3-5-2",2,1.6,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;","0","0","Arsenal","4-2-3-1",0,1.6,"","0","0","https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",71,FALSE,2,"Substitute","Mads Bech Sørensen for Kristoffer Ajer","1:0",NA
"4","Premier League","2021-08-13","Premier League (Matchweek 1)","Brentford","3-5-2",2,1.6,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;","0","0","Arsenal","4-2-3-1",0,1.6,"","0","0","https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Arsenal","Away",71,FALSE,2,"Substitute","Reiss Nelson for Martinelli","1:0",NA
"5","Premier League","2021-08-13","Premier League (Matchweek 1)","Brentford","3-5-2",2,1.6,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;","0","0","Arsenal","4-2-3-1",0,1.6,"","0","0","https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",73,FALSE,2,"Goal","Christian Nørgaard","2:0",NA
"6","Premier League","2021-08-13","Premier League (Matchweek 1)","Brentford","3-5-2",2,1.6,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;","0","0","Arsenal","4-2-3-1",0,1.6,"","0","0","https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",80,FALSE,2,"Substitute","Mads Bidstrup for Frank Onyeka","2:0",NA
"7","Premier League","2021-08-13","Premier League (Matchweek 1)","Brentford","3-5-2",2,1.6,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;","0","0","Arsenal","4-2-3-1",0,1.6,"","0","0","https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Arsenal","Away",81,FALSE,2,"Substitute","Nuno Tavares for Calum Chambers","2:0",NA
"8","Premier League","2021-08-13","Premier League (Matchweek 1)","Brentford","3-5-2",2,1.6,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;","0","0","Arsenal","4-2-3-1",0,1.6,"","0","0","https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",86,FALSE,2,"Substitute","Marcus Forss for Bryan Mbeumo","2:0",NA
"9","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",30,FALSE,1,"Goal","Bruno Fernandes Assist: Paul Pogba","1:0",NA
"10","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Leeds United","Away",46,FALSE,2,"Substitute","Junior Firpo for Rodrigo","1:0",NA
"11","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Leeds United","Away",48,FALSE,2,"Goal","Luke Ayling Assist: Stuart Dallas","1:1",NA
"12","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",52,FALSE,2,"Goal","Mason Greenwood Assist: Paul Pogba","2:1",NA
"13","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",54,FALSE,2,"Goal","Bruno Fernandes Assist: Paul Pogba","3:1",NA
"14","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Leeds United","Away",59,FALSE,2,"Yellow Card","Liam Cooper","3:1",NA
"15","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",60,FALSE,2,"Goal","Bruno Fernandes Assist: Victor Lindelöf","4:1",NA
"16","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Leeds United","Away",62,FALSE,2,"Yellow Card","Raphinha","4:1",NA
"17","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",68,FALSE,2,"Goal","Fred Assist: Paul Pogba","5:1",NA
"18","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",69,FALSE,2,"Substitute","Nemanja Matić for Scott McTominay","5:1",NA
"19","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Leeds United","Away",69,FALSE,2,"Substitute","Hélder Costa for Jack Harrison","5:1",NA
"20","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",75,FALSE,2,"Substitute","Jadon Sancho for Daniel James","5:1",NA
"21","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",75,FALSE,2,"Substitute","Anthony Martial for Paul Pogba","5:1",NA
"22","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Leeds United","Away",77,FALSE,2,"Substitute","Tyler Roberts for Patrick Bamford","5:1",NA
"23","Premier League","2021-08-14","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,2.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;","1","0","Leeds United","4-1-4-1",1,0.6,"Luke Ayling · 48&rsquor;","2","0","https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",83,FALSE,2,"Yellow Card","Luke Shaw","5:1",NA
"24","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Leicester City","Home",41,FALSE,1,"Goal","Jamie Vardy Assist: Ricardo Pereira","1:0",NA
"25","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Wolverhampton Wanderers","Away",59,FALSE,2,"Yellow Card","Fernando Marçal","1:0",NA
"26","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Leicester City","Home",62,FALSE,2,"Substitute","Boubakary Soumaré for James Maddison","1:0",NA
"27","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Leicester City","Home",62,FALSE,2,"Substitute","Jannik Vestergaard for Ayoze Pérez","1:0",NA
"28","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Wolverhampton Wanderers","Away",66,FALSE,2,"Substitute","Leander Dendoncker for João Moutinho","1:0",NA
"29","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Leicester City","Home",72,FALSE,2,"Substitute","Kelechi Iheanacho for Harvey Barnes","1:0",NA
"30","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Wolverhampton Wanderers","Away",76,FALSE,2,"Yellow Card","Ki-Jana Hoever","1:0",NA
"31","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Wolverhampton Wanderers","Away",86,FALSE,2,"Substitute","Morgan Gibbs-White for Francisco Trincão","1:0",NA
"32","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Leicester City","Home",91,FALSE,2,"Yellow Card","Jamie Vardy","1:0",NA
"33","Premier League","2021-08-14","Premier League (Matchweek 1)","Leicester City","4-2-3-1",1,0.7,"Jamie Vardy · 41&rsquor;","1","0","Wolverhampton Wanderers","3-4-3",0,1.5,"","2","0","https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League","Wolverhampton Wanderers","Away",91,FALSE,2,"Substitute","Fábio Silva for Max Kilman","1:0",NA
"34","Premier League","2021-08-14","Premier League (Matchweek 1)","Burnley","4-4-2",1,1.4,"James Tarkowski · 2&rsquor;","2","0","Brighton & Hove Albion","4-1-4-1",2,1.4,"Neal Maupay · 73&rsquor; Alexis Mac Allister · 78&rsquor;","1","0","https://fbref.com/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League","Burnley","Home",2,FALSE,1,"Goal","James Tarkowski Assist: Ashley Westwood","1:0",NA
"35","Premier League","2021-08-14","Premier League (Matchweek 1)","Burnley","4-4-2",1,1.4,"James Tarkowski · 2&rsquor;","2","0","Brighton & Hove Albion","4-1-4-1",2,1.4,"Neal Maupay · 73&rsquor; Alexis Mac Allister · 78&rsquor;","1","0","https://fbref.com/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League","Burnley","Home",9,FALSE,1,"Yellow Card","Jóhann Berg Guðmundsson","1:0",NA
"36","Premier League","2021-08-14","Premier League (Matchweek 1)","Burnley","4-4-2",1,1.4,"James Tarkowski · 2&rsquor;","2","0","Brighton & Hove Albion","4-1-4-1",2,1.4,"Neal Maupay · 73&rsquor; Alexis Mac Allister · 78&rsquor;","1","0","https://fbref.com/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League","Burnley","Home",13,FALSE,1,"Yellow Card","James Tarkowski","1:0",NA
"37","Premier League","2021-08-14","Premier League (Matchweek 1)","Burnley","4-4-2",1,1.4,"James Tarkowski · 2&rsquor;","2","0","Brighton & Hove Albion","4-1-4-1",2,1.4,"Neal Maupay · 73&rsquor; Alexis Mac Allister · 78&rsquor;","1","0","https://fbref.com/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League","Brighton & Hove Albion","Away",26,FALSE,1,"Yellow Card","Neal Maupay","1:0",NA
