"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"1","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Manchester United","Home",24,FALSE,1,"Substitute","Adnan Januzaj for Jesse Lingard","0:0",NA
"2","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Swansea City","Away",26,FALSE,1,"Yellow Card","Nathan Dyer","0:0",NA
"3","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Swansea City","Away",28,FALSE,1,"Goal","Ki Sung-yueng Assist: Gylfi Sigurðsson","0:1",NA
"4","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Manchester United","Home",46,FALSE,2,"Substitute","Nani for Javier Hernández","0:1",NA
"5","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Swansea City","Away",48,FALSE,2,"Yellow Card","Neil Taylor","0:1",NA
"6","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Manchester United","Home",53,FALSE,2,"Goal","Wayne Rooney","1:1",NA
"7","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Swansea City","Away",54,FALSE,2,"Yellow Card","Jonjo Shelvey","1:1",NA
"8","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Swansea City","Away",54,FALSE,2,"Substitute","Dwight Tiendalli for Neil Taylor","1:1",NA
"9","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Manchester United","Home",67,FALSE,2,"Substitute","Marouane Fellaini for Ander Herrera","1:1",NA
"10","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Swansea City","Away",67,FALSE,2,"Substitute","Jefferson Montero for Nathan Dyer","1:1",NA
"11","Premier League","2014-08-16","Premier League (Matchweek 1)","Manchester United","3-4-1-2",1,NA,"Wayne Rooney · 53&rsquor;","2","0","Swansea City","4-2-3-1",2,NA,"Ki Sung-yueng · 28&rsquor; Gylfi Sigurðsson · 73&rsquor;","4","0","https://fbref.com/en/matches/d192bd78/Manchester-United-Swansea-City-August-16-2014-Premier-League","Swansea City","Away",73,FALSE,2,"Goal","Gylfi Sigurðsson Assist: Wayne Routledge","1:2",NA
