"","League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"1","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Queens Park Rangers","Home",7,FALSE,1,"Substitute","Bradley Orr for Kieron Dyer","0:0",NA
"2","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Bolton Wanderers","Away",45,FALSE,1,"Goal","Gary Cahill","0:1",NA
"3","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Bolton Wanderers","Away",67,FALSE,2,"Own Goal","Danny Gabbidon Own Goal","0:2",NA
"4","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Bolton Wanderers","Away",70,FALSE,2,"Goal","Ivan Klasnić","0:3",NA
"5","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Queens Park Rangers","Home",72,FALSE,2,"Substitute","Heiðar Helguson for Tommy Smith","0:3",NA
"6","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Queens Park Rangers","Home",72,FALSE,2,"Substitute","Ákos Buzsáky for Adel Taarabt","0:3",NA
"7","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Bolton Wanderers","Away",79,FALSE,2,"Goal","Fabrice Muamba","0:4",NA
"8","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Bolton Wanderers","Away",81,FALSE,2,"Substitute","Mark Davies for Chris Eagles","0:4",NA
"9","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Bolton Wanderers","Away",83,FALSE,2,"Substitute","Darren Pratley for Nigel Reo-Coker","0:4",NA
"10","Premier League","Premier League (Matchweek 1)","Queens Park Rangers","4-2-3-1",0,NA,"Clint Hill · 90&rsquor;","0","1","Bolton Wanderers","4-4-2",4,NA,"Gary Cahill · 45&rsquor; Danny Gabbidon (OG) · 67&rsquor; Ivan Klasnić · 70&rsquor; Fabrice Muamba · 79&rsquor;","2","0","https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League","Bolton Wanderers","Away",86,FALSE,2,"Substitute","Robbie Blake for Ivan Klasnić","0:4",NA
