"","x"
"1","https://fbref.com/en/matches/0ed79f65/Liverpool-Stoke-City-August-17-2013-Premier-League"
"2","https://fbref.com/en/matches/2c89506c/Norwich-City-Everton-August-17-2013-Premier-League"
"3","https://fbref.com/en/matches/59de50f5/Swansea-City-Manchester-United-August-17-2013-Premier-League"
"4","https://fbref.com/en/matches/6c9d4543/West-Ham-United-Cardiff-City-August-17-2013-Premier-League"
"5","https://fbref.com/en/matches/996ba598/West-Bromwich-Albion-Southampton-August-17-2013-Premier-League"
"6","https://fbref.com/en/matches/db2e1d60/Sunderland-Fulham-August-17-2013-Premier-League"
"7","https://fbref.com/en/matches/fb2efe3f/Arsenal-Aston-Villa-August-17-2013-Premier-League"
"8","https://fbref.com/en/matches/7a43ef1e/Crystal-Palace-Tottenham-Hotspur-August-18-2013-Premier-League"
"9","https://fbref.com/en/matches/c5a0c463/Chelsea-Hull-City-August-18-2013-Premier-League"
"10","https://fbref.com/en/matches/91a4f233/Manchester-City-Newcastle-United-August-19-2013-Premier-League"
"11","https://fbref.com/en/matches/4f77fdcb/Chelsea-Aston-Villa-August-21-2013-Premier-League"
"12","https://fbref.com/en/matches/226bb9af/Stoke-City-Crystal-Palace-August-24-2013-Premier-League"
"13","https://fbref.com/en/matches/840f5d17/Newcastle-United-West-Ham-United-August-24-2013-Premier-League"
"14","https://fbref.com/en/matches/a8881abd/Hull-City-Norwich-City-August-24-2013-Premier-League"
"15","https://fbref.com/en/matches/c0302a3d/Everton-West-Bromwich-Albion-August-24-2013-Premier-League"
"16","https://fbref.com/en/matches/c081d2e6/Fulham-Arsenal-August-24-2013-Premier-League"
"17","https://fbref.com/en/matches/e67f252a/Southampton-Sunderland-August-24-2013-Premier-League"
"18","https://fbref.com/en/matches/f9d0b4fe/Aston-Villa-Liverpool-August-24-2013-Premier-League"
"19","https://fbref.com/en/matches/07321eda/Tottenham-Hotspur-Swansea-City-August-25-2013-Premier-League"
"20","https://fbref.com/en/matches/aa694ae6/Cardiff-City-Manchester-City-August-25-2013-Premier-League"
"21","https://fbref.com/en/matches/2f4fb646/Manchester-United-Chelsea-August-26-2013-Premier-League"
"22","https://fbref.com/en/matches/0a96cd99/West-Ham-United-Stoke-City-August-31-2013-Premier-League"
"23","https://fbref.com/en/matches/1a9cda6c/Norwich-City-Southampton-August-31-2013-Premier-League"
"24","https://fbref.com/en/matches/62acbb63/Crystal-Palace-Sunderland-August-31-2013-Premier-League"
"25","https://fbref.com/en/matches/a136a9eb/Cardiff-City-Everton-August-31-2013-Premier-League"
"26","https://fbref.com/en/matches/c204a78b/Manchester-City-Hull-City-August-31-2013-Premier-League"
"27","https://fbref.com/en/matches/eb25ce01/Newcastle-United-Fulham-August-31-2013-Premier-League"
"28","https://fbref.com/en/matches/12d5977f/North-London-Derby-Arsenal-Tottenham-Hotspur-September-1-2013-Premier-League"
"29","https://fbref.com/en/matches/79139453/North-West-Derby-Liverpool-Manchester-United-September-1-2013-Premier-League"
"30","https://fbref.com/en/matches/a00957fa/West-Bromwich-Albion-Swansea-City-September-1-2013-Premier-League"
"31","https://fbref.com/en/matches/07872b74/Stoke-City-Manchester-City-September-14-2013-Premier-League"
"32","https://fbref.com/en/matches/0e464fc2/Everton-Chelsea-September-14-2013-Premier-League"
"33","https://fbref.com/en/matches/7eae688d/Sunderland-Arsenal-September-14-2013-Premier-League"
"34","https://fbref.com/en/matches/978aadb9/Manchester-United-Crystal-Palace-September-14-2013-Premier-League"
"35","https://fbref.com/en/matches/b3a16ffb/Fulham-West-Bromwich-Albion-September-14-2013-Premier-League"
"36","https://fbref.com/en/matches/c350d1f0/Hull-City-Cardiff-City-September-14-2013-Premier-League"
"37","https://fbref.com/en/matches/f3ce9e1b/Tottenham-Hotspur-Norwich-City-September-14-2013-Premier-League"
"38","https://fbref.com/en/matches/ffbef2e8/Aston-Villa-Newcastle-United-September-14-2013-Premier-League"
"39","https://fbref.com/en/matches/cd178c23/Southampton-West-Ham-United-September-15-2013-Premier-League"
"40","https://fbref.com/en/matches/f87a455b/Swansea-City-Liverpool-September-16-2013-Premier-League"
"41","https://fbref.com/en/matches/0ee74767/Newcastle-United-Hull-City-September-21-2013-Premier-League"
"42","https://fbref.com/en/matches/107fbfc7/Liverpool-Southampton-September-21-2013-Premier-League"
"43","https://fbref.com/en/matches/2df7ba67/West-Ham-United-Everton-September-21-2013-Premier-League"
"44","https://fbref.com/en/matches/40aac645/West-Bromwich-Albion-Sunderland-September-21-2013-Premier-League"
"45","https://fbref.com/en/matches/99d9d5bd/Norwich-City-Aston-Villa-September-21-2013-Premier-League"
"46","https://fbref.com/en/matches/ddae5f61/Chelsea-Fulham-September-21-2013-Premier-League"
"47","https://fbref.com/en/matches/3c3ce2de/Manchester-Derby-Manchester-City-Manchester-United-September-22-2013-Premier-League"
"48","https://fbref.com/en/matches/a6ec34ce/Arsenal-Stoke-City-September-22-2013-Premier-League"
"49","https://fbref.com/en/matches/b1e33db4/Cardiff-City-Tottenham-Hotspur-September-22-2013-Premier-League"
"50","https://fbref.com/en/matches/fb4fec87/Crystal-Palace-Swansea-City-September-22-2013-Premier-League"
"51","https://fbref.com/en/matches/16a81f8a/Aston-Villa-Manchester-City-September-28-2013-Premier-League"
"52","https://fbref.com/en/matches/1ce7d2dc/Southampton-Crystal-Palace-September-28-2013-Premier-League"
"53","https://fbref.com/en/matches/4e1ede41/Tottenham-Hotspur-Chelsea-September-28-2013-Premier-League"
"54","https://fbref.com/en/matches/84732bf2/Manchester-United-West-Bromwich-Albion-September-28-2013-Premier-League"
"55","https://fbref.com/en/matches/c82883c3/Hull-City-West-Ham-United-September-28-2013-Premier-League"
"56","https://fbref.com/en/matches/e0556f9a/Fulham-Cardiff-City-September-28-2013-Premier-League"
"57","https://fbref.com/en/matches/f333d2bb/Swansea-City-Arsenal-September-28-2013-Premier-League"
"58","https://fbref.com/en/matches/c878c6bd/Sunderland-Liverpool-September-29-2013-Premier-League"
"59","https://fbref.com/en/matches/cc8ac2c8/Stoke-City-Norwich-City-September-29-2013-Premier-League"
"60","https://fbref.com/en/matches/3c693bf2/Everton-Newcastle-United-September-30-2013-Premier-League"
"61","https://fbref.com/en/matches/583ca377/Cardiff-City-Newcastle-United-October-5-2013-Premier-League"
"62","https://fbref.com/en/matches/802180b0/Liverpool-Crystal-Palace-October-5-2013-Premier-League"
"63","https://fbref.com/en/matches/97e24cea/Hull-City-Aston-Villa-October-5-2013-Premier-League"
"64","https://fbref.com/en/matches/9b78c156/Fulham-Stoke-City-October-5-2013-Premier-League"
"65","https://fbref.com/en/matches/af874e7a/Manchester-City-Everton-October-5-2013-Premier-League"
"66","https://fbref.com/en/matches/b5b26c53/Sunderland-Manchester-United-October-5-2013-Premier-League"
"67","https://fbref.com/en/matches/5174f6eb/West-Bromwich-Albion-Arsenal-October-6-2013-Premier-League"
"68","https://fbref.com/en/matches/94b64a78/Tottenham-Hotspur-West-Ham-United-October-6-2013-Premier-League"
"69","https://fbref.com/en/matches/be082972/Southampton-Swansea-City-October-6-2013-Premier-League"
