"","x"
"1","https://fbref.com/en/matches/00377122/Arsenal-Sunderland-August-18-2012-Premier-League"
"2","https://fbref.com/en/matches/14bddc92/West-Bromwich-Albion-Liverpool-August-18-2012-Premier-League"
"3","https://fbref.com/en/matches/2807d2ca/West-Ham-United-Aston-Villa-August-18-2012-Premier-League"
"4","https://fbref.com/en/matches/2935ff37/Reading-Stoke-City-August-18-2012-Premier-League"
"5","https://fbref.com/en/matches/73fa966e/Queens-Park-Rangers-Swansea-City-August-18-2012-Premier-League"
"6","https://fbref.com/en/matches/ad58ac95/Newcastle-United-Tottenham-Hotspur-August-18-2012-Premier-League"
"7","https://fbref.com/en/matches/d63657b1/Fulham-Norwich-City-August-18-2012-Premier-League"
"8","https://fbref.com/en/matches/1c99515c/Manchester-City-Southampton-August-19-2012-Premier-League"
"9","https://fbref.com/en/matches/7455931a/Wigan-Athletic-Chelsea-August-19-2012-Premier-League"
"10","https://fbref.com/en/matches/9c7acc4b/Everton-Manchester-United-August-20-2012-Premier-League"
"11","https://fbref.com/en/matches/140f16f5/Chelsea-Reading-August-22-2012-Premier-League"
"12","https://fbref.com/en/matches/144a31e2/Southampton-Wigan-Athletic-August-25-2012-Premier-League"
"13","https://fbref.com/en/matches/4c342877/Manchester-United-Fulham-August-25-2012-Premier-League"
"14","https://fbref.com/en/matches/6e2ac192/Norwich-City-Queens-Park-Rangers-August-25-2012-Premier-League"
"15","https://fbref.com/en/matches/70564bdb/Chelsea-Newcastle-United-August-25-2012-Premier-League"
"16","https://fbref.com/en/matches/7e24fbc7/Aston-Villa-Everton-August-25-2012-Premier-League"
"17","https://fbref.com/en/matches/8a99c61a/Swansea-City-West-Ham-United-August-25-2012-Premier-League"
"18","https://fbref.com/en/matches/aaaaf560/Tottenham-Hotspur-West-Bromwich-Albion-August-25-2012-Premier-League"
"19","https://fbref.com/en/matches/72d5d178/Liverpool-Manchester-City-August-26-2012-Premier-League"
"20","https://fbref.com/en/matches/aa331524/Stoke-City-Arsenal-August-26-2012-Premier-League"
"21","https://fbref.com/en/matches/69ec8c1b/Manchester-City-Queens-Park-Rangers-September-1-2012-Premier-League"
"22","https://fbref.com/en/matches/99848535/Wigan-Athletic-Stoke-City-September-1-2012-Premier-League"
"23","https://fbref.com/en/matches/c090403c/West-Bromwich-Albion-Everton-September-1-2012-Premier-League"
"24","https://fbref.com/en/matches/cdd7da22/Swansea-City-Sunderland-September-1-2012-Premier-League"
"25","https://fbref.com/en/matches/f32038c2/West-Ham-United-Fulham-September-1-2012-Premier-League"
"26","https://fbref.com/en/matches/f56c8e34/Tottenham-Hotspur-Norwich-City-September-1-2012-Premier-League"
"27","https://fbref.com/en/matches/0b68b804/Liverpool-Arsenal-September-2-2012-Premier-League"
"28","https://fbref.com/en/matches/371d6528/Newcastle-United-Aston-Villa-September-2-2012-Premier-League"
"29","https://fbref.com/en/matches/d80ac534/Southampton-Manchester-United-September-2-2012-Premier-League"
"30","https://fbref.com/en/matches/02581161/Stoke-City-Manchester-City-September-15-2012-Premier-League"
"31","https://fbref.com/en/matches/0b68caed/Fulham-West-Bromwich-Albion-September-15-2012-Premier-League"
"32","https://fbref.com/en/matches/2000534c/Queens-Park-Rangers-Chelsea-September-15-2012-Premier-League"
"33","https://fbref.com/en/matches/5a0b388e/Norwich-City-West-Ham-United-September-15-2012-Premier-League"
"34","https://fbref.com/en/matches/5fbcbf51/Sunderland-Liverpool-September-15-2012-Premier-League"
"35","https://fbref.com/en/matches/97e07563/Arsenal-Southampton-September-15-2012-Premier-League"
"36","https://fbref.com/en/matches/9f9e9a4e/Manchester-United-Wigan-Athletic-September-15-2012-Premier-League"
"37","https://fbref.com/en/matches/c4a53240/Aston-Villa-Swansea-City-September-15-2012-Premier-League"
"38","https://fbref.com/en/matches/36093639/Reading-Tottenham-Hotspur-September-16-2012-Premier-League"
"39","https://fbref.com/en/matches/bf505c37/Everton-Newcastle-United-September-17-2012-Premier-League"
"40","https://fbref.com/en/matches/4efadbe8/Chelsea-Stoke-City-September-22-2012-Premier-League"
"41","https://fbref.com/en/matches/7b11947e/Wigan-Athletic-Fulham-September-22-2012-Premier-League"
"42","https://fbref.com/en/matches/9306c80c/West-Ham-United-Sunderland-September-22-2012-Premier-League"
"43","https://fbref.com/en/matches/cd509045/Swansea-City-Everton-September-22-2012-Premier-League"
"44","https://fbref.com/en/matches/e33b7155/West-Bromwich-Albion-Reading-September-22-2012-Premier-League"
"45","https://fbref.com/en/matches/fe29a9be/Southampton-Aston-Villa-September-22-2012-Premier-League"
"46","https://fbref.com/en/matches/4c5198c8/Manchester-City-Arsenal-September-23-2012-Premier-League"
