"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"1","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Liverpool","Home",7,FALSE,1,"Own Goal","Grant Hanley Own Goal —","1:0",NA
"2","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Liverpool","Home",19,FALSE,1,"Goal","Mohamed Salah Assist: Roberto Firmino","2:0",NA
"3","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Liverpool","Home",28,FALSE,1,"Goal","Virgil van Dijk Assist: Mohamed Salah","3:0",NA
"4","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Liverpool","Home",39,FALSE,1,"Substitute","Adrián for Alisson","3:0",NA
"5","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Liverpool","Home",42,FALSE,1,"Goal","Divock Origi Assist: Trent Alexander-Arnold","4:0",NA
"6","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Norwich City","Away",58,FALSE,2,"Substitute","Moritz Leitner for Marco Stiepermann","4:0",NA
"7","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Norwich City","Away",60,FALSE,2,"Yellow Card","Moritz Leitner","4:0",NA
"8","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Norwich City","Away",64,FALSE,2,"Goal","Teemu Pukki Assist: Emi Buendía","4:1",NA
"9","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Norwich City","Away",65,FALSE,2,"Yellow Card","Emi Buendía","4:1",NA
"10","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Norwich City","Away",70,FALSE,2,"Substitute","Onel Hernández for Tom Trybull","4:1",NA
